,,,中文翻譯,日文翻譯,捷克文翻譯,越文翻譯,越文例句,英文例句,日文例句,捷克文例句,中文翻譯
linguistic uses,propositional uses,news,新聞、消息,知らせ、ニュース,zprávě,tin tức,"Jane không chỉ là người vực dậy tinh thần của Stephen khi anh ấy đối mặt với những tin tức buồn về bệnh tình của mình, điều có thể khiến anh ấy bị liệt và không thể nói được, mà cô ấy còn là người giúp anh ấy viết nên quyển sách bom tấn của mình.","Not only was it Jane who raised Stephen’ morale when faced with the depressing news that his illness would eventually leave him paralysed and speechless, but it was she who physically helped him to write his blockbuster. ",スティーブンが病気のために身体が麻痺し、言葉を失ってしまうという気の毒な知らせを知ったとき、ジェーンは彼のやる気を高めただけでなく、彼が大ヒット作を書くのを物理的に手伝ったのである。,"Nejen Jane, která zvedla Stephenovu morálku, když čelil depresivní zprávě, že jeho nemoc ho nakonec ochromí a nebude moci mluvit, ale byla to ona, kdo mu fyzicky pomohl sepsat jeho trhák. ",當史蒂芬得知他的病最終會讓他癱瘓和無法講話的消息，而感到沮喪時，珍不僅在這個時候提振了他的士氣，還幫助他創作了一本賣座的書。
linguistic uses,propositional uses,point,觀點、論點、想法、意見,,,,,,,,
linguistic uses,propositional uses,report,報導、報告,レポート、報告,zpráva,báo cáo,"Báo cáo của một phóng viên tại Budapest, KIRSTY LANG: câu hỏi về việc tổng thống sẽ được bầu chọn như thế nào...",The report form our correspondent in Budapest KIRSTY LANG: the question of how the president should be chosen...,（ブダペストの特派員からのレポート）KIRSTY LANG: 大統領がどのように選ばれるべきかという問題,"Zpráva od našeho korespondenta v Budapešti KIRSTY LANG: otázka, jak by měl být prezident zvolen ... ",我們在布達佩斯的記者柯斯蒂．朗報導：關於如何選出總統的問題...
linguistic uses,propositional uses,information,消息、訊息、資訊,情報,informaci,thông tin,"""Nguồn báo thân thiện"" được cho là đã truyền thông tin cho ông Burnside rằng một thư ký tại trụ sở BA đã cung cấp thông tin chi tiết cho Virgin.",‘’Friendly newspaper sources’’ are then said to have passed on to Mr Burnside information that a secretary in BA’s headquarters had been feeding details to Virgin. ,友好的な新聞社の関係者は、BA本社の秘書がヴァージン社に詳細を提供しているという情報をバーンサイド氏に伝えたという。,"„Přátelské novinářské zdroje“ pak údajně předaly Burnsideovi informaci, že sekretářka v ústředí BA poskytovala informace letecké společnosti Virgin. ",據稱，「友善的報紙消息來源」已經向伯恩賽德先生傳遞了一則消息表示，有位英航總部的秘書一直向維珍航空提供細節資訊。
linguistic uses,propositional uses,intelligence,智力、智慧,,,,,,,,
linguistic uses,propositional uses,story,敘述、描述,話、内容,to,câu chuyện,"Tuy nhiên, 6,5% trong số đó là mức tăng giá quốc gia và phụ phí 6% đối với nhiên liệu bán tại khu vực thủ đô Mexico và 2 thành phố khác. Câu chuyện trên cho thấy số tiền thu được từ khoàn phụ phí này có thể được sử dụng để tài trợ cho các chương trình kiểm soát ô nhiễm.",[..erm but of that six point five was a national price hike and then there was a six per cent surcharge put on er fuel sold in in the Mexico City metropolitan area and in fact in two other cities.] Erm and the story was that this money from this would be used to finance er from this surcharge this money would be used to finance erm er pollution control measures. ,しかし、その6.5％は全国的な値上げで、メキシコシティ都市圏と他の2都市で販売される燃料には6％の追加料金が課せられた。この課徴金で得られた資金は、公害防止対策のための資金に充てられるという話だった。,"[..erm, ale z těch šesti bodů pět bylo zvýšení cen na národní úrovni a pak došlo k šestiprocentnímu příplatku za palivo prodávané v metropolitní oblasti Mexico City a ve skutečnosti ve dvou dalších městech.] Erm šlo o to, aby tak získáné peníze by byly použity k financování er peníze z tohoto příplatku, tyto peníze budou použity k financování všech opatření na omezení znečištění. ",[…嗯但是其中全國物價上漲6.5%，以及墨西哥都會區和其他兩個城市所銷售的燃料多了6% 的附加費。]嗯，從這樣的敘述看來，這筆附加的費用可能會用來資助污染控管的措施。
linguistic uses,propositional uses,argument,爭執、爭議,主張、議論,argumentem,"lập luận, tranh luận","Đảng Bảo thủ đã mạo hiểm trong cuộc tổng tuyển cử khi đóng băng trong bốn nămcác phúc lợi trẻ em, đây là một bài toán được nhiều người coi là không thể đạt được như tuyên bố, tuy nhiên không có chính sách rõ ràng về việc sẽ thay thế nó. Lập luận của Ngài Norman là không nên thay thế mà nên duy trì.","The Tories risk going into a general election with child benefit frozen for four years, a state widely seen as untenable as a manifesto position, but with no clear policy on what would replace it. Sir Norman’s argument was that it should not be replaced but maintained. ",保守党が子どもの手当を4年間凍結したまま総選挙に臨むのは、マニフェストの観点から見れば防御できない主張と見られているが、それに代わる明確な方針がない。ノーマン卿の主張は、代替ではなく維持すべきだというものだった。,"Konzervativci riskují, že vstoupí do všeobecných voleb s návrhem zmrazení dětských přídavků na čtyři roky, což je situace, která je obecně považována za neudržitelnou pro volební prohlášení, ale bez jasného plánu, co by jej nahradilo. Argumentem sira Normana bylo, že by neměl být nahrazen, ale měl by zůstat. ","保守黨更冒著兒童福利可能被凍結四年的風險投入大選，這被廣泛認為是站不住腳的選舉承諾，但卻沒有任何明確的政策來取代。諾曼爵士的論點是不應該替換這項福利而是要保留它。
"
linguistic uses,propositional uses,message,訊息,メッセージ,zprávou,"thông điệp, tin nhắn",Một hội nghị về bệnh hồng cầu hình liềm đang lan tỏa thông điệp rằng chứng rối loạn máu này sẽ không nên khiến những người mắc bệnh dừng làm những điều họ muốn.,A conference on sickle cell disease is spreading the message that the blood disorder needn’t stop sufferers achieving what they want. ,鎌状赤血球症に関する会議は、血液障害が患者の達成したいことを止めることがないというメッセージを広げている。," Konference o srpkovitých onemocněních přichází se zprávou, že krevní porucha nemusí zabránit tomu, aby postižení dosáhli toho, co chtějí. ",這場關於鐮狀細胞疾病的研討會正在傳播著這樣的訊息：白血病不會阻止患者去達成他們想要做的事情。
linguistic uses,propositional uses,joke,笑話、玩笑,冗談、ジョーク,vtip,"trò đùa, lời nói đùa",Trò đùa thực sự là không ai có thể nhớ được hết các tên gọi.,The real joke is that already no one can remember all the names. ,本当の意味でのジョークは、すでに誰もすべての名前を覚えていないということである。,"Skutečný vtip je, že si už nikdo nepamatuje všechna jména. ",這個笑話真正的笑點是已經沒有人能記住所有的名字。
linguistic uses,propositional uses,nonsense,胡扯、謬論,,,,,,,,
linguistic uses,propositional uses,subtext,弦外之音,,,,,,,,
linguistic uses,propositional uses,aphorism,格言,,,,,,,,
linguistic uses,propositional uses,definition,定義,,,,,,,,
linguistic uses,propositional uses,allegory,預言,,,,,,,,
linguistic uses,propositional uses,proverb,諺語、格言,,,,,,,,
linguistic uses,propositional uses,preface,序言、前言,,,,,,,,
linguistic uses,propositional uses,adage,古訓、諺語,,,,,,,,
linguistic uses,propositional uses,catchphrase,流行語、名言,,,,,,,,
linguistic uses,propositional uses,talk,演講、講座、傳言,談話、と言われる,tom,tin đồn,"Sau khi Lukoil, công ty sản xuất dầu khí nhà nước lớn nhất nước Nga tham gia và dự án này vào đầu năm nay, có tin đồn rằng một hợp đồng phát triển mỏ dầu sớm được ký kết.","After Lukoil, Russia’s largest state-owned oil-producer, had joined the project earlier this year, there was talk that a contract to develop the oilfields would soon be agreed upon. ",今年の初めにロシア最大の国営石油会社であるルコイユがこのプロジェクトに参加したことで、近々、油田開発の契約が結ばれるのではないかと言われていた。,"Poté, co se na začátku letošního roku k projektu připojil Lukoil, největší ruský státní producent ropy, se začalo hovořit o tom, že bude brzy dohodnuta smlouva na využití ropných polí. ",在俄羅斯最大的國有石油公司盧克石油在今年年初加入這項計畫後，就有傳言表示即將會簽訂開發油田的合約。
linguistic uses,propositional uses,rumour,流言、傳聞,噂,,tin đồn,"Nhưng Forest đang đứng cuối ở Premier League và Betty Higgins, người đứng đầu hội đồng kiểm soát Labour cho biết: ""Chúng tôi đã nghe thấy một tin đồn rằng Brian sẽ không còn tiếp tục dẫn dắt Forest nữa."" Đây chỉ là điều mà mọi người nói.","But Forest are bottom of the Premier League and Betty Higgins, the leader of the Labour-controlled council, said: “ We had heard a rumour that Brian would not be in charge of Forest for much longer.” It was just something that someone said. ",しかし、フォレストはプレミアリーグの最下位に沈んでおり、労働党が支配する議会のリーダーであるベティ・ヒギンズ氏は次のように述べている。「私たちは、ブライアンがフォレストの監督を長く続けられないだろうという噂を聞いていた」。それは、誰かが言っていたことにすぎなかった。,"Forest je ale v Premier League na dně a Betty Higgins, předseda /městské/ rady kontrolované labouristy, řekla: „Slyšeli jsme zvěsti, že Brian už nebude déle vést Forest.“ Bylo to jen něco, co někdo řekl. ",但森林隊在英超聯賽中墊底，由工黨主導的委員會的主席貝蒂．希金斯表示：「我們聽到了布萊恩將不再領導森林隊的謠言。」但這只是片面之詞。
